Model:TgC13-neg-tumor and peritumor
Type:LDA Model (200 PCA Components, 1 LDA Components )(background subtraction)
Bining:600 - 1000 binned to 0.1 with Advanced bining mode
Classes:Peritumoral region,Tumor
Data file:E:\HUGH Imaging\TgC13_imaging data\Negative ion mode new laser\M14_T2.raw
Start scan,End scan,X coordinate,Y coordinate,Class name,Probability,Class color,
1,1,0,0,Tumor,98.6,#FF8A2BE2,
9,10,0,0,Tumor,99.35,#FF8A2BE2,
17,17,0,0,Tumor,98.35,#FF8A2BE2,
21,21,0,0,Tumor,99.05,#FF8A2BE2,
25,26,0,0,Tumor,99.36,#FF8A2BE2,
29,30,0,0,Tumor,99.29,#FF8A2BE2,
33,33,0,0,Tumor,99.37,#FF8A2BE2,
37,37,0,0,Tumor,97.81,#FF8A2BE2,
41,42,0,0,Tumor,98.92,#FF8A2BE2,
45,46,0,0,Tumor,97.18,#FF8A2BE2,
49,50,0,0,Tumor,94.34,#FF8A2BE2,
53,56,0,0,Peritumoral region,92.9,#FFB0C4DE,
58,58,0,0,Tumor,98.47,#FF8A2BE2,
62,65,0,0,Tumor,98.58,#FF8A2BE2,
66,66,0,0,Peritumoral region,96.62,#FFB0C4DE,
70,70,0,0,Tumor,99.37,#FF8A2BE2,
75,77,0,0,Tumor,98.94,#FF8A2BE2,
84,84,0,0,Tumor,97.8,#FF8A2BE2,
94,95,0,0,Tumor,97.62,#FF8A2BE2,
98,98,0,0,Tumor,56.95,#FF8A2BE2,
103,105,0,0,Tumor,99.34,#FF8A2BE2,
108,108,0,0,Tumor,99.29,#FF8A2BE2,
113,114,0,0,Tumor,99.31,#FF8A2BE2,
133,134,0,0,Tumor,99.35,#FF8A2BE2,
137,138,0,0,Tumor,99.38,#FF8A2BE2,
141,143,0,0,Tumor,98.37,#FF8A2BE2,
146,146,0,0,Tumor,97.69,#FF8A2BE2,
150,150,0,0,Tumor,99.38,#FF8A2BE2,
154,155,0,0,Tumor,99.38,#FF8A2BE2,
159,162,0,0,Tumor,99.38,#FF8A2BE2,
163,166,0,0,Tumor,99.22,#FF8A2BE2,
167,168,0,0,Tumor,99.08,#FF8A2BE2,
173,175,0,0,Tumor,99.39,#FF8A2BE2,
178,180,0,0,Tumor,99.19,#FF8A2BE2,
184,187,0,0,Tumor,99.13,#FF8A2BE2,
191,194,0,0,Tumor,99,#FF8A2BE2,
195,196,0,0,Tumor,99.09,#FF8A2BE2,
199,200,0,0,Tumor,99.33,#FF8A2BE2,
203,206,0,0,Tumor,99.36,#FF8A2BE2,
207,208,0,0,Tumor,99.39,#FF8A2BE2,
211,212,0,0,Tumor,99.38,#FF8A2BE2,
215,216,0,0,Tumor,99.38,#FF8A2BE2,
219,219,0,0,Tumor,99.38,#FF8A2BE2,
223,224,0,0,Tumor,99.36,#FF8A2BE2,
227,228,0,0,Tumor,99.35,#FF8A2BE2,
231,232,0,0,Tumor,99.36,#FF8A2BE2,
235,236,0,0,Tumor,99.39,#FF8A2BE2,
239,240,0,0,Tumor,99.18,#FF8A2BE2,
243,244,0,0,Tumor,99.36,#FF8A2BE2,
248,248,0,0,Tumor,99.39,#FF8A2BE2,
264,264,0,0,Tumor,99.27,#FF8A2BE2,
268,268,0,0,Tumor,99.22,#FF8A2BE2,
272,272,0,0,Peritumoral region,92.4,#FFB0C4DE,
276,276,0,0,Peritumoral region,98.59,#FFB0C4DE,
280,280,0,0,Peritumoral region,99.1,#FFB0C4DE,
284,284,0,0,Tumor,99.3,#FF8A2BE2,
288,288,0,0,Tumor,96.96,#FF8A2BE2,
292,292,0,0,Tumor,85.01,#FF8A2BE2,
296,296,0,0,Tumor,99.31,#FF8A2BE2,
300,300,0,0,Tumor,99.2,#FF8A2BE2,
304,305,0,0,Tumor,99.36,#FF8A2BE2,
308,308,0,0,Tumor,99.29,#FF8A2BE2,
312,314,0,0,Tumor,99.28,#FF8A2BE2,
