Model:TgC13-neg-tumor and peritumor
Type:LDA Model (200 PCA Components, 1 LDA Components )(background subtraction)
Bining:600 - 1000 binned to 0.1 with Advanced bining mode
Classes:Peritumoral region,Tumor
Data file:E:\HUGH Imaging\TgC13_imaging data\Negative ion mode new laser\M15_T2.RAW
Start scan,End scan,X coordinate,Y coordinate,Class name,Probability,Class color,
1,4,0,0,Tumor,98.67,#FF8A2BE2,
5,8,0,0,Tumor,98.94,#FF8A2BE2,
9,12,0,0,Tumor,99,#FF8A2BE2,
13,16,0,0,Tumor,99.04,#FF8A2BE2,
20,23,0,0,Tumor,99.29,#FF8A2BE2,
24,27,0,0,Tumor,99.39,#FF8A2BE2,
28,31,0,0,Tumor,99.34,#FF8A2BE2,
32,35,0,0,Tumor,99.2,#FF8A2BE2,
36,39,0,0,Tumor,98.21,#FF8A2BE2,
40,43,0,0,Tumor,99.37,#FF8A2BE2,
44,47,0,0,Tumor,98.82,#FF8A2BE2,
51,54,0,0,Tumor,99.17,#FF8A2BE2,
55,58,0,0,Tumor,99.29,#FF8A2BE2,
59,62,0,0,Tumor,99.37,#FF8A2BE2,
66,66,0,0,Tumor,99.32,#FF8A2BE2,
70,71,0,0,Tumor,99.38,#FF8A2BE2,
74,77,0,0,Tumor,98.99,#FF8A2BE2,
78,81,0,0,Tumor,99.39,#FF8A2BE2,
82,85,0,0,Tumor,99.36,#FF8A2BE2,
86,89,0,0,Tumor,99.36,#FF8A2BE2,
90,93,0,0,Tumor,99.33,#FF8A2BE2,
94,97,0,0,Tumor,99.38,#FF8A2BE2,
101,104,0,0,Tumor,99.36,#FF8A2BE2,
105,108,0,0,Tumor,99.32,#FF8A2BE2,
109,112,0,0,Tumor,99.35,#FF8A2BE2,
113,116,0,0,Tumor,99.34,#FF8A2BE2,
117,120,0,0,Tumor,99.27,#FF8A2BE2,
121,124,0,0,Tumor,99.34,#FF8A2BE2,
128,131,0,0,Tumor,99.37,#FF8A2BE2,
132,135,0,0,Tumor,99.38,#FF8A2BE2,
136,139,0,0,Tumor,99.35,#FF8A2BE2,
140,143,0,0,Tumor,99.27,#FF8A2BE2,
144,147,0,0,Tumor,98.91,#FF8A2BE2,
148,151,0,0,Tumor,99.26,#FF8A2BE2,
155,155,0,0,Tumor,98.63,#FF8A2BE2,
159,160,0,0,Tumor,81.97,#FF8A2BE2,
163,166,0,0,Tumor,98.96,#FF8A2BE2,
167,170,0,0,Tumor,90.97,#FF8A2BE2,
171,174,0,0,Tumor,99.28,#FF8A2BE2,
175,178,0,0,Tumor,98.95,#FF8A2BE2,
179,182,0,0,Tumor,98.91,#FF8A2BE2,
183,186,0,0,Tumor,99.35,#FF8A2BE2,
187,190,0,0,Tumor,99.32,#FF8A2BE2,
191,194,0,0,Tumor,99.05,#FF8A2BE2,
197,198,0,0,Tumor,98.91,#FF8A2BE2,
201,202,0,0,Tumor,99.12,#FF8A2BE2,
205,206,0,0,Tumor,99.08,#FF8A2BE2,
209,210,0,0,Tumor,99.04,#FF8A2BE2,
213,214,0,0,Tumor,99.06,#FF8A2BE2,
217,220,0,0,Tumor,98.79,#FF8A2BE2,
221,224,0,0,Tumor,99.05,#FF8A2BE2,
225,228,0,0,Tumor,99.11,#FF8A2BE2,
229,232,0,0,Tumor,97.8,#FF8A2BE2,
233,236,0,0,Tumor,97.68,#FF8A2BE2,
237,240,0,0,Tumor,91.39,#FF8A2BE2,
241,244,0,0,Tumor,98.15,#FF8A2BE2,
247,248,0,0,Tumor,99.28,#FF8A2BE2,
252,255,0,0,Peritumoral region,96.62,#FFB0C4DE,
256,259,0,0,Tumor,98.94,#FF8A2BE2,
260,263,0,0,Tumor,99.3,#FF8A2BE2,
264,267,0,0,Tumor,98.42,#FF8A2BE2,
268,271,0,0,Tumor,89.1,#FF8A2BE2,
274,275,0,0,Tumor,99.06,#FF8A2BE2,
278,280,0,0,Tumor,99.38,#FF8A2BE2,
286,287,0,0,Tumor,99.35,#FF8A2BE2,
290,291,0,0,Tumor,99.39,#FF8A2BE2,
294,295,0,0,Tumor,99.39,#FF8A2BE2,
298,298,0,0,Tumor,99.37,#FF8A2BE2,
302,302,0,0,Tumor,99.39,#FF8A2BE2,
306,309,0,0,Tumor,99.38,#FF8A2BE2,
310,313,0,0,Tumor,99.06,#FF8A2BE2,
314,317,0,0,Tumor,99.06,#FF8A2BE2,
318,321,0,0,Tumor,99.38,#FF8A2BE2,
322,325,0,0,Tumor,99.07,#FF8A2BE2,
329,329,0,0,Tumor,99.37,#FF8A2BE2,
333,336,0,0,Tumor,99.33,#FF8A2BE2,
337,338,0,0,Tumor,99.38,#FF8A2BE2,
341,344,0,0,Tumor,99.37,#FF8A2BE2,
345,348,0,0,Tumor,99.33,#FF8A2BE2,
349,352,0,0,Tumor,99.09,#FF8A2BE2,
356,356,0,0,Tumor,96.97,#FF8A2BE2,
360,363,0,0,Tumor,98.83,#FF8A2BE2,
364,367,0,0,Tumor,84.64,#FF8A2BE2,
368,371,0,0,Tumor,87.6,#FF8A2BE2,
372,375,0,0,Tumor,89.86,#FF8A2BE2,
379,379,0,0,Tumor,69.56,#FF8A2BE2,
383,386,0,0,Tumor,98.08,#FF8A2BE2,
387,390,0,0,Peritumoral region,80.03,#FFB0C4DE,
391,394,0,0,Peritumoral region,96.93,#FFB0C4DE,
395,398,0,0,Peritumoral region,97.69,#FFB0C4DE,
399,402,0,0,Tumor,99.06,#FF8A2BE2,
403,406,0,0,Tumor,99.3,#FF8A2BE2,
407,410,0,0,Tumor,99.28,#FF8A2BE2,
414,414,0,0,Tumor,99.34,#FF8A2BE2,
418,418,0,0,Tumor,99.16,#FF8A2BE2,
422,422,0,0,Tumor,99.27,#FF8A2BE2,
426,426,0,0,Tumor,99.2,#FF8A2BE2,
430,430,0,0,Tumor,99.23,#FF8A2BE2,
434,434,0,0,Peritumoral region,96.91,#FFB0C4DE,
