Model:TgC13-neg
Type:LDA Model (166 PCA Components, 1 LDA Components )(background subtraction)
Bining:600 - 1000 binned to 0.1 with Advanced bining mode
Classes:Peritumoral region,Tumor
Data file:E:\MassLynx Projects\Test.PRO\Data\SpiderMass\Data_01_HUGH\C(13)-TAG mammary tumor imaging\M14_T1.raw
Start scan,End scan,X coordinate,Y coordinate,Class name,Probability,Class color,
1,5,0,0,Peritumoral region,95.27,#FFADD8E6,
6,10,0,0,Peritumoral region,98.56,#FFADD8E6,
11,13,0,0,Peritumoral region,97.82,#FFADD8E6,
14,16,0,0,Peritumoral region,83.29,#FFADD8E6,
17,19,0,0,Peritumoral region,97.13,#FFADD8E6,
21,25,0,0,Peritumoral region,98.69,#FFADD8E6,
26,29,0,0,Peritumoral region,99.13,#FFADD8E6,
30,34,0,0,Peritumoral region,98.09,#FFADD8E6,
35,38,0,0,Peritumoral region,99.24,#FFADD8E6,
39,42,0,0,Peritumoral region,99.26,#FFADD8E6,
45,47,0,0,Peritumoral region,99.39,#FFADD8E6,
49,53,0,0,Peritumoral region,79.13,#FFADD8E6,
54,58,0,0,Peritumoral region,99.27,#FFADD8E6,
61,63,0,0,Peritumoral region,95.87,#FFADD8E6,
65,69,0,0,Peritumoral region,76.6,#FFADD8E6,
70,72,0,0,Peritumoral region,76.61,#FFADD8E6,
73,75,0,0,Peritumoral region,88.51,#FFADD8E6,
77,79,0,0,Tumor,96.33,#FF9400D3,
81,83,0,0,Peritumoral region,95.43,#FFADD8E6,
84,86,0,0,Peritumoral region,91.54,#FFADD8E6,
87,90,0,0,Peritumoral region,87.64,#FFADD8E6,
91,93,0,0,Peritumoral region,97.79,#FFADD8E6,
94,97,0,0,Peritumoral region,95.25,#FFADD8E6,
98,100,0,0,Peritumoral region,93.49,#FFADD8E6,
101,103,0,0,Peritumoral region,99.23,#FFADD8E6,
104,106,0,0,Peritumoral region,99.37,#FFADD8E6,
107,111,0,0,Peritumoral region,99.07,#FFADD8E6,
114,116,0,0,Peritumoral region,91.55,#FFADD8E6,
117,119,0,0,Peritumoral region,98.52,#FFADD8E6,
120,123,0,0,Peritumoral region,98.67,#FFADD8E6,
124,127,0,0,Peritumoral region,84.08,#FFADD8E6,
128,131,0,0,Peritumoral region,98.65,#FFADD8E6,
132,135,0,0,Peritumoral region,89.59,#FFADD8E6,
136,138,0,0,Tumor,98.23,#FF9400D3,
139,141,0,0,Peritumoral region,95.8,#FFADD8E6,
142,144,0,0,Peritumoral region,99.11,#FFADD8E6,
145,147,0,0,Peritumoral region,98.83,#FFADD8E6,
148,150,0,0,Peritumoral region,98.99,#FFADD8E6,
151,154,0,0,Peritumoral region,99.33,#FFADD8E6,
155,158,0,0,Peritumoral region,98.13,#FFADD8E6,
159,161,0,0,Peritumoral region,98.63,#FFADD8E6,
162,164,0,0,Peritumoral region,90.57,#FFADD8E6,
166,168,0,0,Peritumoral region,72.28,#FFADD8E6,
170,172,0,0,Peritumoral region,91.6,#FFADD8E6,
175,177,0,0,Peritumoral region,96.39,#FFADD8E6,
179,181,0,0,Peritumoral region,98.27,#FFADD8E6,
183,187,0,0,Peritumoral region,98.89,#FFADD8E6,
188,190,0,0,Peritumoral region,99.37,#FFADD8E6,
191,193,0,0,Peritumoral region,71,#FFADD8E6,
194,196,0,0,Peritumoral region,98.72,#FFADD8E6,
197,199,0,0,Tumor,93.46,#FF9400D3,
200,203,0,0,Peritumoral region,87.65,#FFADD8E6,
204,207,0,0,Peritumoral region,96.24,#FFADD8E6,
208,210,0,0,Peritumoral region,99.32,#FFADD8E6,
212,215,0,0,Peritumoral region,97.24,#FFADD8E6,
216,219,0,0,Peritumoral region,97.86,#FFADD8E6,
220,222,0,0,Peritumoral region,96.98,#FFADD8E6,
224,226,0,0,Peritumoral region,97.26,#FFADD8E6,
227,229,0,0,Peritumoral region,98.77,#FFADD8E6,
230,232,0,0,Peritumoral region,97.94,#FFADD8E6,
233,235,0,0,Tumor,99.07,#FF9400D3,
236,238,0,0,Peritumoral region,99.34,#FFADD8E6,
239,241,0,0,Peritumoral region,99.08,#FFADD8E6,
242,244,0,0,Peritumoral region,96.88,#FFADD8E6,
245,249,0,0,Peritumoral region,99.37,#FFADD8E6,
251,253,0,0,Peritumoral region,59.31,#FFADD8E6,
254,256,0,0,Peritumoral region,95.64,#FFADD8E6,
257,260,0,0,Peritumoral region,99.37,#FFADD8E6,
261,265,0,0,Peritumoral region,99.38,#FFADD8E6,
266,269,0,0,Peritumoral region,98.87,#FFADD8E6,
272,274,0,0,Peritumoral region,99.02,#FFADD8E6,
276,278,0,0,Peritumoral region,99.26,#FFADD8E6,
279,281,0,0,Peritumoral region,99.16,#FFADD8E6,
282,284,0,0,Tumor,99.07,#FF9400D3,
285,287,0,0,Tumor,99.36,#FF9400D3,
288,290,0,0,Peritumoral region,99.39,#FFADD8E6,
292,295,0,0,Peritumoral region,99.3,#FFADD8E6,
296,298,0,0,Peritumoral region,99.26,#FFADD8E6,
299,301,0,0,Peritumoral region,99.08,#FFADD8E6,
302,304,0,0,Tumor,91.18,#FF9400D3,
305,307,0,0,Tumor,94.43,#FF9400D3,
308,310,0,0,Peritumoral region,78.75,#FFADD8E6,
311,313,0,0,Peritumoral region,99.31,#FFADD8E6,
314,317,0,0,Peritumoral region,99.37,#FFADD8E6,
318,322,0,0,Peritumoral region,99.06,#FFADD8E6,
323,326,0,0,Peritumoral region,99.12,#FFADD8E6,
328,330,0,0,Peritumoral region,96.36,#FFADD8E6,
331,334,0,0,Peritumoral region,98.03,#FFADD8E6,
336,338,0,0,Peritumoral region,99.38,#FFADD8E6,
341,343,0,0,Peritumoral region,99.37,#FFADD8E6,
344,346,0,0,Tumor,98.65,#FF9400D3,
347,350,0,0,Peritumoral region,98.42,#FFADD8E6,
351,354,0,0,Peritumoral region,93.18,#FFADD8E6,
357,361,0,0,Peritumoral region,99.38,#FFADD8E6,
362,366,0,0,Peritumoral region,99.27,#FFADD8E6,
369,372,0,0,Peritumoral region,99.38,#FFADD8E6,
373,377,0,0,Peritumoral region,97.45,#FFADD8E6,
378,382,0,0,Peritumoral region,98.98,#FFADD8E6,
385,387,0,0,Peritumoral region,99.24,#FFADD8E6,
388,390,0,0,Tumor,94.56,#FF9400D3,
391,393,0,0,Peritumoral region,99.1,#FFADD8E6,
394,397,0,0,Peritumoral region,98.69,#FFADD8E6,
398,401,0,0,Peritumoral region,98.45,#FFADD8E6,
402,405,0,0,Peritumoral region,99.38,#FFADD8E6,
406,408,0,0,Peritumoral region,98.68,#FFADD8E6,
409,411,0,0,Peritumoral region,95.7,#FFADD8E6,
412,414,0,0,Peritumoral region,95.22,#FFADD8E6,
416,418,0,0,Peritumoral region,99.38,#FFADD8E6,
420,424,0,0,Peritumoral region,98.5,#FFADD8E6,
425,429,0,0,Peritumoral region,99.17,#FFADD8E6,
430,433,0,0,Peritumoral region,99.37,#FFADD8E6,
436,440,0,0,Peritumoral region,99.21,#FFADD8E6,
441,443,0,0,Peritumoral region,99.38,#FFADD8E6,
