Model:TgC13-neg
Type:LDA Model (322 PCA Components, 2 LDA Components )(background subtraction)
Bining:600 - 1000 binned to 0.1 with Advanced bining mode
Classes:Healthy,Peritumoral region,Tumor
Data file:E:\HUGH Imaging\TgC13_imaging data\Negative ion mode new laser\M14_T2.raw
Start scan,End scan,X coordinate,Y coordinate,Class name,Probability,Class color,
1,1,0,0,Tumor,91.11,#FF8A2BE2,
9,10,0,0,Tumor,90.99,#FF8A2BE2,
17,17,0,0,Tumor,98.74,#FF8A2BE2,
21,21,0,0,Tumor,93.48,#FF8A2BE2,
25,26,0,0,Healthy,93.87,#FFFA8072,
29,30,0,0,Tumor,97.28,#FF8A2BE2,
33,33,0,0,Tumor,97.55,#FF8A2BE2,
37,37,0,0,Tumor,73.38,#FF8A2BE2,
41,42,0,0,Tumor,84.54,#FF8A2BE2,
45,46,0,0,Outlier,,,
49,50,0,0,Tumor,88.16,#FF8A2BE2,
53,56,0,0,Peritumoral region,91.06,#FFB0C4DE,
58,58,0,0,Outlier,,,
62,65,0,0,Tumor,91.14,#FF8A2BE2,
66,66,0,0,Outlier,,,
70,70,0,0,Tumor,97.16,#FF8A2BE2,
75,77,0,0,Tumor,80.43,#FF8A2BE2,
84,84,0,0,Tumor,72.02,#FF8A2BE2,
94,95,0,0,Tumor,75.47,#FF8A2BE2,
98,98,0,0,Healthy,97.48,#FFFA8072,
103,105,0,0,Tumor,86.1,#FF8A2BE2,
108,108,0,0,Healthy,98.55,#FFFA8072,
113,114,0,0,Tumor,99.2,#FF8A2BE2,
133,134,0,0,Healthy,98.76,#FFFA8072,
137,138,0,0,Tumor,99.23,#FF8A2BE2,
141,143,0,0,Healthy,90.87,#FFFA8072,
146,146,0,0,Tumor,79.74,#FF8A2BE2,
150,150,0,0,Outlier,,,
154,155,0,0,Tumor,99.31,#FF8A2BE2,
159,162,0,0,Tumor,94.52,#FF8A2BE2,
163,166,0,0,Tumor,88.01,#FF8A2BE2,
167,168,0,0,Tumor,87.75,#FF8A2BE2,
173,175,0,0,Tumor,91.41,#FF8A2BE2,
178,180,0,0,Tumor,90.52,#FF8A2BE2,
184,187,0,0,Tumor,92.96,#FF8A2BE2,
191,194,0,0,Healthy,93.74,#FFFA8072,
195,196,0,0,Healthy,97.13,#FFFA8072,
199,200,0,0,Healthy,91.26,#FFFA8072,
203,206,0,0,Healthy,92.23,#FFFA8072,
207,208,0,0,Healthy,85.28,#FFFA8072,
211,212,0,0,Healthy,85.92,#FFFA8072,
215,216,0,0,Tumor,95.54,#FF8A2BE2,
219,219,0,0,Healthy,86.12,#FFFA8072,
223,224,0,0,Outlier,,,
227,228,0,0,Tumor,92.88,#FF8A2BE2,
231,232,0,0,Tumor,94.76,#FF8A2BE2,
235,236,0,0,Healthy,66.16,#FFFA8072,
239,240,0,0,Tumor,97.41,#FF8A2BE2,
243,244,0,0,Tumor,95.92,#FF8A2BE2,
248,248,0,0,Tumor,91.23,#FF8A2BE2,
264,264,0,0,Healthy,99.29,#FFFA8072,
268,268,0,0,Healthy,98.85,#FFFA8072,
272,272,0,0,Healthy,99.11,#FFFA8072,
276,276,0,0,Healthy,77.27,#FFFA8072,
280,280,0,0,Healthy,99.18,#FFFA8072,
284,284,0,0,Healthy,92.65,#FFFA8072,
288,288,0,0,Healthy,97.45,#FFFA8072,
292,292,0,0,Healthy,72.39,#FFFA8072,
296,296,0,0,Healthy,96.13,#FFFA8072,
300,300,0,0,Healthy,97.61,#FFFA8072,
304,305,0,0,Tumor,97.63,#FF8A2BE2,
308,308,0,0,Tumor,77.88,#FF8A2BE2,
312,314,0,0,Healthy,95.08,#FFFA8072,
316,317,0,0,Healthy,93.11,#FFFA8072,
320,321,0,0,Healthy,97.01,#FFFA8072,
324,325,0,0,Healthy,97.99,#FFFA8072,
328,328,0,0,Outlier,,,
332,333,0,0,Tumor,94.29,#FF8A2BE2,
336,337,0,0,Outlier,,,
340,341,0,0,Healthy,79.03,#FFFA8072,
345,348,0,0,Healthy,92.95,#FFFA8072,
349,352,0,0,Healthy,97.1,#FFFA8072,
353,354,0,0,Tumor,88.27,#FF8A2BE2,
357,357,0,0,Healthy,98.93,#FFFA8072,
361,361,0,0,Healthy,96.23,#FFFA8072,
365,365,0,0,Healthy,83.77,#FFFA8072,
369,369,0,0,Tumor,81.42,#FF8A2BE2,
373,374,0,0,Healthy,78.9,#FFFA8072,
377,378,0,0,Outlier,,,
381,382,0,0,Healthy,72.65,#FFFA8072,
385,387,0,0,Tumor,89.8,#FF8A2BE2,
389,390,0,0,Tumor,98.94,#FF8A2BE2,
393,394,0,0,Tumor,98.59,#FF8A2BE2,
397,398,0,0,Tumor,99.03,#FF8A2BE2,
401,402,0,0,Tumor,97.86,#FF8A2BE2,
405,406,0,0,Tumor,90.27,#FF8A2BE2,
409,411,0,0,Tumor,98.52,#FF8A2BE2,
413,414,0,0,Tumor,95.65,#FF8A2BE2,
417,418,0,0,Tumor,95.56,#FF8A2BE2,
421,422,0,0,Tumor,95.36,#FF8A2BE2,
425,426,0,0,Tumor,89.96,#FF8A2BE2,
429,430,0,0,Tumor,91.12,#FF8A2BE2,
433,434,0,0,Tumor,95.74,#FF8A2BE2,
438,438,0,0,Tumor,92.55,#FF8A2BE2,
442,443,0,0,Tumor,81.48,#FF8A2BE2,
446,449,0,0,Tumor,87.89,#FF8A2BE2,
450,453,0,0,Healthy,68.32,#FFFA8072,
454,454,0,0,Healthy,78.2,#FFFA8072,
458,458,0,0,Healthy,96.85,#FFFA8072,
466,466,0,0,Healthy,98.41,#FFFA8072,
470,471,0,0,Healthy,79.57,#FFFA8072,
474,475,0,0,Tumor,91.19,#FF8A2BE2,
478,479,0,0,Tumor,93.19,#FF8A2BE2,
482,483,0,0,Healthy,99.02,#FFFA8072,
486,487,0,0,Healthy,88.66,#FFFA8072,
490,491,0,0,Healthy,98.53,#FFFA8072,
495,495,0,0,Healthy,97.41,#FFFA8072,
499,499,0,0,Healthy,92.34,#FFFA8072,
503,503,0,0,Healthy,99,#FFFA8072,
507,509,0,0,Outlier,,,
511,512,0,0,Tumor,93.73,#FF8A2BE2,
515,516,0,0,Healthy,68.54,#FFFA8072,
520,520,0,0,Tumor,89.59,#FF8A2BE2,
524,524,0,0,Healthy,99.18,#FFFA8072,
532,532,0,0,Healthy,93.7,#FFFA8072,
536,536,0,0,Outlier,,,
540,540,0,0,Healthy,98.97,#FFFA8072,
544,545,0,0,Healthy,83.35,#FFFA8072,
548,548,0,0,Peritumoral region,96.81,#FFB0C4DE,
552,552,0,0,Healthy,98.29,#FFFA8072,
564,565,0,0,Tumor,97.61,#FF8A2BE2,
569,569,0,0,Tumor,92.18,#FF8A2BE2,
573,573,0,0,Tumor,97.17,#FF8A2BE2,
577,578,0,0,Tumor,91.81,#FF8A2BE2,
581,581,0,0,Healthy,75.38,#FFFA8072,
585,586,0,0,Healthy,94.09,#FFFA8072,
589,590,0,0,Healthy,75.93,#FFFA8072,
593,594,0,0,Healthy,99.07,#FFFA8072,
597,598,0,0,Healthy,99.24,#FFFA8072,
602,602,0,0,Healthy,97.59,#FFFA8072,
606,606,0,0,Healthy,99.27,#FFFA8072,
610,610,0,0,Healthy,98.53,#FFFA8072,
614,614,0,0,Healthy,97,#FFFA8072,
618,619,0,0,Tumor,94.67,#FF8A2BE2,
622,623,0,0,Tumor,94.69,#FF8A2BE2,
626,627,0,0,Tumor,92.52,#FF8A2BE2,
630,630,0,0,Tumor,78.42,#FF8A2BE2,
634,634,0,0,Tumor,89.28,#FF8A2BE2,
638,638,0,0,Outlier,,,
642,643,0,0,Tumor,75.21,#FF8A2BE2,
646,647,0,0,Tumor,94.95,#FF8A2BE2,
650,651,0,0,Tumor,93.38,#FF8A2BE2,
654,655,0,0,Tumor,93.71,#FF8A2BE2,
658,659,0,0,Tumor,92.72,#FF8A2BE2,
662,663,0,0,Tumor,94.48,#FF8A2BE2,
666,667,0,0,Tumor,92.16,#FF8A2BE2,
670,671,0,0,Tumor,94.21,#FF8A2BE2,
674,675,0,0,Tumor,91.12,#FF8A2BE2,
678,679,0,0,Tumor,92.01,#FF8A2BE2,
682,683,0,0,Tumor,95.65,#FF8A2BE2,
686,686,0,0,Healthy,81.16,#FFFA8072,
690,691,0,0,Tumor,92.58,#FF8A2BE2,
694,694,0,0,Tumor,93.46,#FF8A2BE2,
698,699,0,0,Tumor,89.83,#FF8A2BE2,
702,703,0,0,Tumor,89.73,#FF8A2BE2,
706,706,0,0,Tumor,86.29,#FF8A2BE2,
710,713,0,0,Healthy,88.82,#FFFA8072,
714,714,0,0,Healthy,95.57,#FFFA8072,
718,718,0,0,Healthy,96,#FFFA8072,
722,723,0,0,Healthy,98.32,#FFFA8072,
726,727,0,0,Healthy,96.86,#FFFA8072,
730,731,0,0,Healthy,95.1,#FFFA8072,
734,735,0,0,Tumor,94.76,#FF8A2BE2,
738,738,0,0,Tumor,96.14,#FF8A2BE2,
742,743,0,0,Healthy,98.08,#FFFA8072,
746,746,0,0,Healthy,99.33,#FFFA8072,
750,750,0,0,Healthy,99.23,#FFFA8072,
754,755,0,0,Healthy,99.25,#FFFA8072,
762,763,0,0,Tumor,93.17,#FF8A2BE2,
766,767,0,0,Healthy,98.57,#FFFA8072,
770,771,0,0,Healthy,99.15,#FFFA8072,
774,774,0,0,Healthy,99.33,#FFFA8072,
778,779,0,0,Tumor,93.38,#FF8A2BE2,
782,782,0,0,Tumor,93.2,#FF8A2BE2,
786,786,0,0,Tumor,93.21,#FF8A2BE2,
790,790,0,0,Tumor,98.37,#FF8A2BE2,
798,798,0,0,Healthy,94.4,#FFFA8072,
802,802,0,0,Healthy,98.35,#FFFA8072,
806,806,0,0,Healthy,98.89,#FFFA8072,
810,810,0,0,Healthy,95.37,#FFFA8072,
814,814,0,0,Healthy,98.72,#FFFA8072,
829,830,0,0,Healthy,98.89,#FFFA8072,
833,834,0,0,Tumor,94.72,#FF8A2BE2,
837,838,0,0,Healthy,98.74,#FFFA8072,
842,842,0,0,Healthy,99.27,#FFFA8072,
846,846,0,0,Tumor,73.51,#FF8A2BE2,
850,850,0,0,Healthy,98.67,#FFFA8072,
854,854,0,0,Tumor,97.34,#FF8A2BE2,
858,859,0,0,Outlier,,,
862,862,0,0,Healthy,98.91,#FFFA8072,
866,867,0,0,Healthy,94.4,#FFFA8072,
870,871,0,0,Healthy,99.14,#FFFA8072,
874,876,0,0,Healthy,97.56,#FFFA8072,
879,879,0,0,Healthy,94.44,#FFFA8072,
883,883,0,0,Healthy,95.79,#FFFA8072,
887,887,0,0,Healthy,98.68,#FFFA8072,
891,894,0,0,Healthy,99.3,#FFFA8072,
895,898,0,0,Healthy,95.53,#FFFA8072,
899,902,0,0,Healthy,89.32,#FFFA8072,
903,906,0,0,Healthy,68.65,#FFFA8072,
907,910,0,0,Healthy,80.97,#FFFA8072,
911,911,0,0,Tumor,89.61,#FF8A2BE2,
915,918,0,0,Tumor,87.7,#FF8A2BE2,
919,919,0,0,Tumor,90.15,#FF8A2BE2,
923,923,0,0,Tumor,80.68,#FF8A2BE2,
927,927,0,0,Tumor,97.69,#FF8A2BE2,
931,932,0,0,Tumor,86.69,#FF8A2BE2,
935,936,0,0,Tumor,95.74,#FF8A2BE2,
939,940,0,0,Tumor,89.09,#FF8A2BE2,
943,944,0,0,Tumor,95.67,#FF8A2BE2,
947,948,0,0,Tumor,92.61,#FF8A2BE2,
951,952,0,0,Tumor,88.54,#FF8A2BE2,
955,956,0,0,Tumor,90.87,#FF8A2BE2,
959,960,0,0,Tumor,89.21,#FF8A2BE2,
963,964,0,0,Tumor,97.08,#FF8A2BE2,
967,968,0,0,Tumor,87.99,#FF8A2BE2,
971,972,0,0,Outlier,,,
975,976,0,0,Healthy,97.81,#FFFA8072,
979,980,0,0,Healthy,94.5,#FFFA8072,
983,983,0,0,Healthy,97.88,#FFFA8072,
987,987,0,0,Healthy,97.66,#FFFA8072,
991,991,0,0,Healthy,97.34,#FFFA8072,
996,999,0,0,Healthy,99.31,#FFFA8072,
1000,1003,0,0,Healthy,98.48,#FFFA8072,
1004,1007,0,0,Healthy,99.23,#FFFA8072,
1015,1016,0,0,Healthy,94.91,#FFFA8072,
1019,1020,0,0,Healthy,99.25,#FFFA8072,
1024,1027,0,0,Healthy,99.38,#FFFA8072,
1028,1028,0,0,Tumor,94.41,#FF8A2BE2,
1032,1032,0,0,Healthy,98.75,#FFFA8072,
1036,1036,0,0,Healthy,98.75,#FFFA8072,
1040,1040,0,0,Healthy,99.26,#FFFA8072,
1044,1044,0,0,Healthy,95.53,#FFFA8072,
1048,1048,0,0,Healthy,99.07,#FFFA8072,
1052,1052,0,0,Tumor,94.01,#FF8A2BE2,
1060,1060,0,0,Tumor,98.83,#FF8A2BE2,
1064,1064,0,0,Healthy,98.5,#FFFA8072,
1068,1068,0,0,Healthy,94.99,#FFFA8072,
1072,1072,0,0,Peritumoral region,98.19,#FFB0C4DE,
1076,1076,0,0,Outlier,,,
1080,1080,0,0,Healthy,74.27,#FFFA8072,
1084,1084,0,0,Healthy,96.01,#FFFA8072,
1088,1088,0,0,Healthy,58.3,#FFFA8072,
1092,1092,0,0,Healthy,98.75,#FFFA8072,
1096,1096,0,0,Healthy,97.46,#FFFA8072,
